Date, Home Team Name (full), Home Team Name (short), Awat Team Name (full), Away Team Name (short), Tournament, Home goals, Away goals, Normal mins, Added mins
03/12/2021,Fulham,Fulham,AFC Bournemouth,Bournemouth,Sky Bet Championship,1,1,90,5
03/12/2021,Gateshead,Gateshead,Charlton Athletic,Charlton,The Emirates FA Cup,0,2,90,5
03/12/2021,Rotherham United,Rotherham,Stockport County,Stockport,The Emirates FA Cup,1,0,90,7
03/12/2021,Costa Rica,Costa Rica,Nicaragua Women,Nicaragua Women,Women's International Friendlies,3,1,,
03/12/2021,Inverness Caledonian Thistle,Inverness CT,Kilmarnock,Kilmarnock,Ladbrokes Scottish Championship,1,0,90,4
03/12/2021,Edinburgh City,Edinburgh City,Annan Athletic,Annan Athletic,Ladbrokes Scottish League Two,0,1,90,5
03/12/2021,Bala Town,Bala Town,The New Saints,The New Saints,Cymru Premier,1,4,90,
03/12/2021,Aberystwyth Town,Aberystwyth Town,Connah's Quay Nomads,Connah's Quay Nomads,Cymru Premier,0,1,90,1
03/12/2021,Granada,Granada,Alavés,Alavés,Spanish La Liga Santander,2,1,90,5
03/12/2021,1. FC Union Berlin,Union Berlin,RB Leipzig,RB Leipzig,German Bundesliga,2,1,90,4
03/12/2021,Wellington Phoenix,Wellington Phoenix,Western Sydney Wanderers FC,Western Sydney Wanderers FC,Australian Hyundai A-League,0,2,90,5
03/12/2021,Sint-Truidense VV,Sint-Truidense VV,Union Saint-Gilloise,Union Saint-Gilloise,Belgian First Division A,1,2,90,5
03/12/2021,Athletico Paranaense,Athletico Paranaense,Cuiabá,Cuiabá,Brazilian Chevrolet Campeonato Série A,1,0,90,7
03/12/2021,Chapecoense,Chapecoense,Atlético Goianiense,Atlético Goianiense,Brazilian Chevrolet Campeonato Série A,0,1,90,5
03/12/2021,Sport,Sport,Flamengo,Flamengo,Brazilian Chevrolet Campeonato Série A,1,1,90,7
03/12/2021,FC Groningen,FC Groningen,PEC Zwolle,PEC Zwolle,Dutch Eredivisie,1,1,90,7
03/12/2021,Portimonense,Portimonense,FC Porto,FC Porto,Portuguese Primeira Liga NOS,0,3,90,4
03/12/2021,Benfica,Benfica,Sporting Lisbon,Sporting,Portuguese Primeira Liga NOS,1,3,90,7
03/12/2021,Zenit St Petersburg,Zenit St Petersburg,Rostov,Rostov,Russian SOGAZ Premier League,2,2,90,5
